publication_id,subteam,authors,title,type,date,project_year,doi,venue,short_title,status,scope
1,Discover,27;117;119;3,Cascade electrocatalysis via AgCu single atom alloy and Ag nanoparticles in CO2 electroreduction toward multicarbon products,Journal,10/5/2023,1,10.1038/s41467-023-41871-w,Nature communications,Catalyst design to improve C-C coupling,Complete,Catalyst design
2,Discover,124;7,Visualizing the Effect of Temperature on Carbonate Salt Production in CO2 Electrolysis,Conference,10/10/2023,1,https://iopscience.iop.org/article/10.1149/MA2023-02472380mtgabs,"244th Electrochemical Society (ECS) Meeting, Gothenburg, Sweden",Temperatures Effect on Carbonate Salt Production,Complete,
3,Discover,109;10,Utilizing direct membrane depostion to improve the perforamce of foward-bias bipolar membrane CO2 elctrolyzers,Conference,10/10/2023,1,,"244th Electrochemical Society (ECS) Meeting, Gothenburg, Sweden",Enhanced CO₂ Electrolysis via Membranes,Complete,
4,Discover,3,This UWaterloo professor is converting carbon dioxide into clean fuels,Interview,11/3/2023,1,,BNN Bloomberg,CO2 Conversion to Clean Fuels,Complete,
5,Discover,3,Economical way to turn captured carbon into clean fuel developed by Waterloo researchers,Interview,11/6/2023,1,https://www.cbc.ca/news/canada/kitchener-waterloo/university-waterloo-carbon-capture-clean-fuel-technology-yimin-wu-1.7018064,CBC news,Cost-Effective CO2 Fuel Production,Complete,
6,Discover,33;8,Optimizing Structural Characteristics of N-Doped Carbon for Enhanced CO2RR Efficiency and Selectivity,Conference,1/5/2024,2,,CREATE ME2,Optimizing N-Carbon for CO2 Reduction,Complete,
7,Discover,30;8,Novel Nitrogen and Sulfur Doped Colloid Imprinted Carbons (CICs) as Catalysts for Electrochemical CO2 Reduction,Conference,1/6/2024,2,,CREATE ME2,"N,S-Doped Carbons for CO2 Reduction",Complete,
8,Discover,8;31,"Metal Oxide Perovskite Cathodes for CO, H2 & Tunable Syngas Production",Conference,1/7/2024,2,,EFCF,Perovskite Cathodes for Syngas,Complete,
9,Discover,31;8,Deciphering the Benefits of Nanoparticle Exsolution in Transition Metal Doped and Undoped La0.3Ca0.7Fe0.7Cr0.3O3-δ Perovskites for CO2-CO Conversion in SOCs,Conference,1/7/2024,2,,EFCF,Nanoparticles Boost CO2 Conversion,Complete,
10,Discover,127;123;2,Electrolytic cement clinker precursor production sustained through orthogonalization of ion vectors,Journal,1/29/2024,2,10.1039/D4EE04881D,Energy & Environmental Science,Electrochemical cement decarbonization,Complete,Cement electrolyzer
11,Discover,123;43;131;2,Limestone conversion to cement clinker precursor in a zero-gap electrolyzer,Journal,2/20/2024,1,10.1021/jacs.5c02266,ChemRxiv,Limestone to Clinker via Electrolysis,Complete,Cement electrolyzer
12,Discover,110;19;46;109;7;9;10,Pathways to profitability for carbon monoxide electroreduction to ethylene,Journal,3/7/2024,2,10.1016/j.joule.2024.02.014,Joule,Making CO-to-Ethylene Profitable,Complete,Optimizing C2+ production
13,Discover,109;9;10,CO2 Electrolyzers,Journal,3/22/2024,2,10.1021/acs.chemrev.3c00206,Chemical Reviews,Review of CO2 Electrolyzers,Complete,CCCUS review
14,Discover,8,Carbon-Based Supports and Catalysts for Electrochemical Energy Storage and Conversion Applications,Conference,4/24/2024,2,,American Chemical Society,Carbon Catalysts for Energy Systems,Complete,
15,Discover,8;31,"Metal Oxide Perovskite Cathodes for CO, H2 & Tunable Syngas Production",Conference,5/5/2024,2,,High Temperature Energy Conversion Telluride Science Workshop,Perovskite Cathodes for Syngas,Complete,
16,Discover,8;33;30,Using mesoporous carbons in the electrocatalysis of O2 and CO2 reduction,Conference,5/13/2024,2,,Canadian Catalysis Symposium,Mesoporous Carbons for O2/CO2,Complete,
17,Discover,121;111;124;7,Revealing the Effect of Compression on Carbonate Salt Precipitation in Alkaline Zero-Gap CO2 Electrolyzers,Conference,5/26/2024,2,,CSME / CFD Canada Joint Conference,Compression Effects in CO2 Electrolyzers,Complete,
18,Discover,8;33;30,Development of Carbon-based Electrocatalysts for Use in Energy Storage and Conversion Devices,Conference,6/19/2024,2,,CSSC 2024,Carbon Electrocatalysts for Energy,Complete,
19,Discover,117;37;4;3,Interface engineering and oxygen vacancies derived from plasma-treated Cu2O synergistically enhancing electrocatalytic CO2-to-C2+ conversion,Journal,7/16/2024,2,10.1039/D4TA03492A,Journal of Materials Chemistry A,Engineered Cu2O for C2+ CO2R,Complete,Catalyst design
20,Discover,129;13;14;1,Electrochemical Conversion of Carbon Dioxide into Fuels: Characterization of Catalyst/Electrode Properties & Degradation Mechanisms,Conference,7/27/2024,2,,Gordon Research Conference & Seminars – Green Chemistry,CO2-to-Fuels: Catalyst Degradation,Complete,
21,Discover,29;5,Mussel-Inspired Polymer Binders for Organic Electrodes,Journal,8/14/2024,2,10.1002/smll.202405118,Small,Mussel-Inspired Binders for Electrodes,Complete,Electrolyzer optimization
22,Discover,121;124;7,Over-compression of gas diffusion electrodes in alkaline zero-gap carbon dioxide electrolyzers,Conference,8/18/2024,2,,2024 Canadian Light Source Annual Users’ Meeting,Over-Compression in GDEs,Complete,
23,Discover,117;120;38;4;3,Stabilized Cuδ+-OH species on in situ reconstructed Cu nanoparticles for CO2-to-C2H4 conversion in neutral media,Journal,8/29/2024,2,10.1038/s41467-024-52004-2,Nature Communications,Stabilized Cu for CO2→Ethylene,Complete,Catalyst design
24,Discover,117;37;4;3,Revealing Real Active Sites in Intricate Grain Boundaries Assemblies on Electroreduction of CO2 to C2+ Products,Journal,9/2/2024,2,10.1002/aenm.202402636,Advanced Energy Materials,Active Sites for CO2→C2+,Complete,Electrolyzer optimization
